Row_Id,Date of Update,Tax Year,County,Number of Returns,Total Number of Exemptions (thousands of dollars),Total Adjusted Gross Income (thousands of dollars),Total Oregon Adjustments: Additions (thousands of dollars),Total Oregon Adjustments: Federal Tax Subtraction (thousands of dollars),Total Oregon Adjustments: Other Subtractions (thousands of dollars),Total Deductions (thousands of dollars),Total Taxable Income (thousands of dollars),Total Gross Tax (thousands of dollars),Total Credits (thousands of dollars),Total Net Tax (thousands of dollars),Average Number of Exemptions,Average Adjusted Gross Income (dollars),Average Oregon Adjustments: Additions (dollars),Average Oregon Adjustments: Federal Tax Subtraction (dollars),Average Oregon Adjustments: Other Subtractions (dollars),Average Deductions (dollars),Average Taxable Income (dollars),Average Gross Tax (dollars),Average Credits (dollars),Average Net Tax (dollars),Tax as Percent of AGI (%),Tax as Percent of Taxable Income (%),Return Type: Single (Number),Return Type: Single (%),Return Type: Joint (Number),Return Type: Joint  (%),Return Type: Separate (Number),Return Type: Separate (%),Return Type: Head Household (Number),Return Type: Head Household (%),Return Type: Itemized (Number),Return Type: Itemized (%),"Return Type: 
Full-Year 
(Number)","Return Type: 
Full-Year 
(%)",Return Type: Part-Year (Number),Return Type: Part-Year (%),Return Type: Nonresident (Number),Return Type: Nonresident (%),Full Year Returns: Number of Returns,Full Year Returns: Total Adjusted Gross Income (thousands of dollars),"Full Year Returns: Total Wages, Salaries, Tips (thousands of dollars)",Full Year Returns: Total Taxable Dividends and Interest (thousands of dollars),Full Year Returns: Total Business Income (thousands of dollars),Full Year Returns: Total Capital Gains (thousands of dollars),Full Year Returns: Total Taxable Pensions (thousands of dollars),"Full Year Returns: Total Schedule E Income (thousands of dollars, this includes: rental real estate, royalties, partnerships, S corporations, and trusts)",Full Year Returns: Total Farm Income (thousands of dollars),"Full Year Returns: Total All Other Income (thousands of dollars, this includes: taxable state income tax refunds, alimony received, unemployment compensation, and other income)",Full Year Returns: Total Adjustments (thousands of dollars),Exception Notes
13,"Jul 01, 2006",2004,Gilliam,790,1538,28498,41,1291,1933,4945,21501,1749,236,1517,1.9,36073,52,1634,2447,6260,27216,2214,299,1920,0.053,0.071,326,0.413,400,0.506,10,0.013,53,0.067,344,0.435,780,0.987,10,0.013,0,0,780,28348,19230,1338,554,2402,3926,1876,-304,-36,637,
14,"Jul 01, 2006",2004,Grant,2992,5970,99363,365,4165,6524,17728,77338,6256,940,5328,2,33210,122,1392,2180,5925,25848,2091,314,1781,0.054,0.069,1206,0.403,1509,0.504,42,0.014,233,0.078,1305,0.436,2921,0.976,60,0.02,11,0.004,2921,98624,67321,5426,2433,8498,15487,6416,-3978,-1196,1783,
15,"Jul 01, 2006",2004,Harney,2828,5889,82091,142,3608,5298,16147,64896,5145,903,4251,2.1,29028,50,1276,1873,5710,22948,1819,319,1503,0.052,0.066,1083,0.383,1429,0.505,38,0.013,277,0.098,1178,0.417,2755,0.974,66,0.023,7,0.002,2755,80800,64081,3280,1876,8305,12976,1111,-5655,-3622,1553,
16,"Jul 01, 2006",2004,Hood River,8952,19466,357438,912,12855,17216,63352,275616,22644,3685,19026,2.2,39928,102,1436,1923,7077,30788,2530,412,2125,0.053,0.069,3644,0.407,4231,0.473,106,0.012,962,0.107,3970,0.443,8672,0.969,220,0.025,60,0.007,8672,352262,232150,17079,17071,29666,40696,22393,-2614,3436,7614,
17,"Jul 01, 2006",2004,Idaho,10445,24456,229802,551,8329,8314,41070,187493,14846,2108,12770,2.3,22001,53,797,796,3932,17951,1421,202,1223,0.056,0.068,3569,0.342,5824,0.558,104,0.01,943,0.09,5314,0.509,985,0.094,1497,0.143,7963,0.762,985,32200,19948,1353,1550,5903,3431,1017,-626,158,534,
18,"Jul 01, 2006",2004,Jackson,81078,161355,3441154,21537,125755,193130,669581,2568035,212178,26285,186613,2,42443,266,1551,2382,8259,31674,2617,324,2302,0.054,0.073,34750,0.429,36271,0.447,1116,0.014,8898,0.11,40635,0.501,78533,0.969,2186,0.027,359,0.004,78533,3395212,2120290,168463,199684,246814,470315,239151,-16801,38341,71046,
19,"Jul 01, 2006",2004,Jefferson,6051,13948,210318,350,7943,26933,38926,145280,11716,2046,9729,2.3,34758,58,1313,4451,6433,24009,1936,338,1608,0.046,0.067,2104,0.348,2734,0.452,85,0.014,1121,0.185,2397,0.396,5932,0.98,105,0.017,14,0.002,5932,208340,151318,8182,5304,11681,25299,9641,-1617,1402,2870,
20,"Jul 01, 2006",2004,Josephine,31998,64628,1187609,3914,43992,76782,233750,871331,71068,10771,60499,2,37115,122,1375,2400,7305,27231,2221,337,1891,0.051,0.069,12634,0.395,15514,0.485,438,0.014,3390,0.106,15604,0.488,30970,0.968,885,0.028,143,0.004,30970,1172498,668001,60002,64297,85265,208486,100241,-6115,16331,24011,
21,"Jul 01, 2006",2004,Klamath,24846,51630,910739,4235,36269,53634,166162,694496,56623,8116,48699,2.1,36655,171,1460,2159,6688,27952,2279,327,1960,0.053,0.07,9626,0.387,11941,0.481,364,0.015,2906,0.117,11093,0.446,23998,0.966,670,0.027,178,0.007,23998,896977,636323,35948,32655,61159,132860,29345,-13358,-1554,16401,
22,"Jul 01, 2006",2004,Lake,2881,5839,83964,325,3698,6039,15880,65090,5208,898,4317,2,29144,113,1284,2096,5512,22593,1808,312,1499,0.051,0.066,1106,0.384,1486,0.516,42,0.015,243,0.084,1078,0.374,2794,0.97,57,0.02,30,0.01,2794,82647,59384,3710,2158,6242,14974,2528,-2757,-1841,1752,
