Row_Id,Date of Update,Tax Year,County,Number of Returns,Total Number of Exemptions (thousands of dollars),Total Adjusted Gross Income (thousands of dollars),Total Oregon Adjustments: Additions (thousands of dollars),Total Oregon Adjustments: Federal Tax Subtraction (thousands of dollars),Total Oregon Adjustments: Other Subtractions (thousands of dollars),Total Deductions (thousands of dollars),Total Taxable Income (thousands of dollars),Total Gross Tax (thousands of dollars),Total Credits (thousands of dollars),Total Net Tax (thousands of dollars),Average Number of Exemptions,Average Adjusted Gross Income (dollars),Average Oregon Adjustments: Additions (dollars),Average Oregon Adjustments: Federal Tax Subtraction (dollars),Average Oregon Adjustments: Other Subtractions (dollars),Average Deductions (dollars),Average Taxable Income (dollars),Average Gross Tax (dollars),Average Credits (dollars),Average Net Tax (dollars),Tax as Percent of AGI (%),Tax as Percent of Taxable Income (%),Return Type: Single (Number),Return Type: Single (%),Return Type: Joint (Number),Return Type: Joint  (%),Return Type: Separate (Number),Return Type: Separate (%),Return Type: Head Household (Number),Return Type: Head Household (%),Return Type: Itemized (Number),Return Type: Itemized (%),"Return Type: 
Full-Year 
(Number)","Return Type: 
Full-Year 
(%)",Return Type: Part-Year (Number),Return Type: Part-Year (%),Return Type: Nonresident (Number),Return Type: Nonresident (%),Full Year Returns: Number of Returns,Full Year Returns: Total Adjusted Gross Income (thousands of dollars),"Full Year Returns: Total Wages, Salaries, Tips (thousands of dollars)",Full Year Returns: Total Taxable Dividends and Interest (thousands of dollars),Full Year Returns: Total Business Income (thousands of dollars),Full Year Returns: Total Capital Gains (thousands of dollars),Full Year Returns: Total Taxable Pensions (thousands of dollars),"Full Year Returns: Total Schedule E Income (thousands of dollars, this includes: rental real estate, royalties, partnerships, S corporations, and trusts)",Full Year Returns: Total Farm Income (thousands of dollars),"Full Year Returns: Total All Other Income (thousands of dollars, this includes: taxable state income tax refunds, alimony received, unemployment compensation, and other income)",Full Year Returns: Total Adjustments (thousands of dollars),Exception Notes
177,"Jul 01, 2010",2008,Gilliam,813,1526,38163,158,1508,2508,5593,30426,2534,293,2248,1.9,46941,194,1855,3085,6880,37424,3116,360,2765,0.059,0.074,358,0.44,369,0.454,22,0.027,63,0.077,358,0.44,796,0.979,17,0.021,,,796,37805,21939,1717,646,1861,5657,4328,-32,2645,958,"Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is CP,"
178,"Jul 01, 2010",2008,Grant,2992,5896,102095,317,4126,8420,22996,80209,6471,1041,5460,2,34123,106,1379,2814,7686,26808,2163,348,1825,0.053,0.068,1189,0.397,1538,0.514,37,0.012,227,0.076,1453,0.486,2925,0.978,60,0.02,7,0.002,2925,100944,72582,6886,2504,8069,22413,2046,-6272,-5071,2213,
179,"Jul 01, 2010",2008,Harney,2994,6161,96238,257,3751,7456,20260,76040,6110,1067,5091,2.1,32144,86,1253,2490,6767,25398,2041,356,1700,0.053,0.067,1203,0.402,1487,0.497,27,0.009,274,0.092,1369,0.457,2929,0.978,54,0.018,11,0.004,2929,95668,72112,5485,1571,11000,17456,515,-8048,-2591,1832,
180,"Jul 01, 2010",2008,Hood River,9782,20792,496562,3777,15959,22886,88683,387351,32248,4590,27779,2.1,50763,386,1632,2340,9066,39598,3297,469,2840,0.056,0.072,4171,0.426,4413,0.451,114,0.012,1077,0.11,4511,0.461,9442,0.965,249,0.025,91,0.009,9442,488659,339670,30967,20109,18127,54578,36400,564,502,12259,
181,"Jul 01, 2010",2008,Idaho,10830,25309,248906,799,8487,8738,53220,214191,16989,2467,14611,2.3,22983,74,784,807,4914,19778,1569,228,1349,0.059,0.068,3847,0.355,5878,0.543,92,0.008,1010,0.093,5612,0.518,804,0.074,1476,0.136,8550,0.789,804,24587,16617,2128,513,1122,3187,853,-202,728,359,
182,"Jul 01, 2010",2008,Jackson,87180,175231,3940785,19483,136701,258306,893397,2846389,233850,33522,201849,2,45203,224,1568,2963,10248,32650,2682,385,2315,0.051,0.071,37804,0.434,37814,0.434,1246,0.014,10270,0.118,43625,0.5,84889,0.974,1796,0.021,495,0.006,84889,3894634,2467683,267135,166689,194874,664719,190093,-18231,39175,77504,
183,"Jul 01, 2010",2008,Jefferson,8680,19240,325699,1096,11994,44810,74656,218147,17543,3182,14565,2.2,37523,126,1382,5163,8601,25132,2021,367,1678,0.045,0.067,3120,0.359,4069,0.469,139,0.016,1344,0.155,4060,0.468,8551,0.985,102,0.012,27,0.003,8551,323370,225590,14647,6216,10361,61569,10269,-5044,4923,5161,
184,"Jul 01, 2010",2008,Josephine,33366,67031,1295178,6523,45045,104239,306006,912864,73830,12496,61884,2,38817,196,1350,3124,9171,27359,2213,375,1855,0.048,0.068,13652,0.409,15672,0.47,496,0.015,3525,0.106,16724,0.501,32620,0.978,604,0.018,142,0.004,32620,1283974,758335,86904,56633,39856,281375,64028,-5574,28819,26401,
185,"Jul 01, 2010",2008,Klamath,26388,54576,1052384,3023,39389,78287,220701,771764,62615,9668,53368,2.1,39881,115,1493,2967,8364,29247,2373,366,2022,0.051,0.069,10648,0.404,12366,0.469,369,0.014,2987,0.113,12266,0.465,25674,0.973,532,0.02,182,0.007,25674,1040225,728622,48112,14412,54352,185337,35251,-14206,5018,16673,
186,"Jul 01, 2010",2008,Lake,3033,6092,106684,401,4260,7804,21513,83371,6740,1058,5709,2,35175,132,1404,2573,7093,27488,2222,349,1882,0.054,0.068,1213,0.4,1524,0.502,54,0.018,239,0.079,1288,0.425,2950,0.973,49,0.016,34,0.011,2950,104980,74390,5481,2606,9518,20437,2781,-4919,-3114,2201,
187,"Jul 01, 2010",2008,Lane,147918,283243,7038656,32733,261435,392965,1378633,5232620,432714,57749,377047,1.9,47585,221,1767,2657,9320,35375,2925,390,2549,0.054,0.072,69829,0.472,61099,0.413,2064,0.014,14823,0.1,72131,0.488,143871,0.973,3233,0.022,814,0.006,143871,6960557,4691603,406628,229748,311654,1033364,311587,-18604,122846,128270,
188,"Jul 01, 2010",2008,Lincoln,19950,37376,841795,4491,32245,70912,193434,583437,47588,7096,40744,1.9,42195,225,1616,3555,9696,29245,2385,356,2042,0.048,0.07,9006,0.451,8586,0.43,299,0.015,2039,0.102,10072,0.505,19416,0.973,442,0.022,92,0.005,19416,832166,470826,52435,43274,29975,188933,51743,-2661,15063,17423,
189,"Jul 01, 2010",2008,Linn,47394,99461,2085952,5417,81255,110497,407137,1542912,126072,18459,108259,2.1,44013,114,1714,2332,8591,32555,2660,390,2284,0.052,0.07,19381,0.409,22236,0.469,680,0.014,5062,0.107,23777,0.502,46574,0.983,705,0.015,115,0.002,46574,2066619,1503411,78908,44896,71846,299081,67231,-7024,36390,28120,
190,"Jul 01, 2010",2008,Malheur,10166,23230,348598,1569,12308,21273,69370,272324,21806,5607,16431,2.3,34291,154,1211,2093,6824,26788,2145,552,1616,0.047,0.06,3730,0.367,4786,0.471,121,0.012,1519,0.149,4183,0.411,9795,0.964,250,0.025,121,0.012,9795,342673,245861,17930,11904,20475,54697,19608,-12570,-8296,6936,
191,"Jul 01, 2010",2008,Marion,126018,275979,5819334,22130,216629,315830,1150843,4373914,359223,53515,308060,2.2,46179,176,1719,2506,9132,34709,2851,425,2445,0.053,0.07,52703,0.418,53796,0.427,1828,0.015,17633,0.14,60975,0.484,123737,0.982,1900,0.015,381,0.003,123737,5775075,4112858,270162,142481,182087,863437,264216,-13708,41693,88152,
192,"Jul 01, 2010",2008,Morrow,4121,10327,167031,405,6432,8632,27888,135705,11034,1928,9166,2.5,40532,98,1561,2095,6767,32930,2678,468,2224,0.055,0.068,1354,0.329,2076,0.504,58,0.014,629,0.153,1869,0.454,4022,0.976,80,0.019,19,0.005,4022,165123,131099,4741,3217,4652,20040,9018,-685,-3885,3075,
193,"Jul 01, 2010",2008,Multnomah,327689,602506,17847893,69857,672213,701292,3303993,13693108,1149920,125674,1028506,1.8,54466,213,2051,2140,10083,41787,3509,384,3139,0.058,0.075,178760,0.546,109761,0.335,4954,0.015,34071,0.104,157721,0.481,315288,0.962,10474,0.032,1927,0.006,315288,17549062,12808771,902716,698839,654952,1655875,940832,-7367,228189,333745,
194,"Jul 01, 2010",2008,Other,55373,106439,1376484,16908,40155,170768,370398,1116546,91867,10059,82189,1.9,24858,305,725,3084,6689,20164,1659,182,1484,0.06,0.074,27212,0.491,23734,0.429,1661,0.03,2739,0.049,25038,0.452,10770,0.194,15942,0.288,28661,0.518,10770,430122,291543,59068,6723,23342,43747,10402,-740,3171,7133,
195,"Jul 01, 2010",2008,Other Washington,35168,78320,1033516,5378,36256,52917,208030,941088,77292,6681,70794,2.2,29388,153,1031,1505,5915,26760,2198,190,2013,0.068,0.075,13503,0.384,18323,0.521,534,0.015,2791,0.079,18719,0.532,3051,0.087,5293,0.151,26824,0.763,3051,106290,70365,9096,2311,6086,14925,196,-57,4951,1584,
196,"Jul 01, 2010",2008,Polk,29951,64393,1516710,4970,57400,95114,312446,1090280,89937,13038,77321,2.1,50640,166,1917,3176,10432,36402,3003,435,2582,0.051,0.071,11873,0.396,14674,0.49,403,0.013,2990,0.1,16392,0.547,29353,0.98,496,0.017,102,0.003,29353,1503988,1035453,70962,41267,39448,254306,66426,-7772,27379,23482,
197,"Jul 01, 2010",2008,Sherman,833,1585,36610,178,1550,2244,5740,28526,2360,273,2094,1.9,43950,213,1860,2694,6890,34245,2833,328,2514,0.057,0.073,399,0.479,364,0.437,14,0.017,55,0.066,347,0.417,816,0.98,17,0.02,,,816,36380,20275,1617,1265,1091,4712,5498,3289,147,1515,"Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is CP,"
198,"Jul 01, 2010",2008,Tillamook,10934,21583,454664,4282,17314,35549,105656,320747,26097,4097,22116,2,41583,392,1584,3251,9663,29335,2387,375,2023,0.049,0.069,4675,0.428,5151,0.471,156,0.014,950,0.087,5590,0.511,10699,0.979,181,0.017,54,0.005,10699,449570,270631,28248,20323,20666,98544,17822,-247,6364,12780,
199,"Jul 01, 2010",2008,Umatilla,28128,62891,1196375,3940,45808,78585,199489,916196,74719,12012,63220,2.2,42533,140,1629,2794,7092,32572,2656,427,2248,0.053,0.069,10760,0.383,12442,0.442,406,0.014,4500,0.16,12347,0.439,27421,0.975,574,0.02,133,0.005,27421,1183252,883580,37653,39330,32513,152983,68167,-7564,-1978,21433,
200,"Jul 01, 2010",2008,Union,10792,22116,454292,1609,16964,28488,82882,344230,28160,4416,23895,2,42095,149,1572,2640,7680,31897,2609,409,2214,0.053,0.069,4552,0.422,5268,0.488,122,0.011,847,0.078,5146,0.477,10536,0.976,209,0.019,47,0.004,10536,448977,305655,21083,14737,22357,70356,31964,-10325,2425,9275,
201,"Jul 01, 2010",2008,Wallowa,3247,6229,119850,574,4529,9806,25618,88571,7173,1197,6003,1.9,36911,177,1395,3020,7890,27278,2209,369,1849,0.05,0.068,1374,0.423,1634,0.503,36,0.011,201,0.062,1661,0.512,3154,0.971,71,0.022,22,0.007,3154,118600,69199,10391,5098,9777,25279,6838,-4164,89,3906,
202,"Jul 01, 2010",2008,Wasco,10015,20484,425948,1694,15937,28599,118090,313958,25634,4255,21513,2,42531,169,1591,2856,11791,31349,2560,425,2148,0.051,0.069,4189,0.418,4526,0.452,147,0.015,1146,0.114,4872,0.486,9775,0.976,195,0.019,45,0.004,9775,420540,277361,21171,13363,22198,72005,22645,-2023,3046,9225,
203,"Jul 01, 2010",2008,Washington,226314,474610,14571900,45866,526811,533477,2587312,11276833,952888,91224,864235,2.1,64388,203,2328,2357,11432,49828,4211,403,3819,0.059,0.077,100906,0.446,99011,0.437,3267,0.014,23018,0.102,119865,0.53,218740,0.967,6439,0.028,1135,0.005,218740,14337314,10813625,777675,386663,763673,1227966,421250,-14088,180969,220419,
204,"Jul 01, 2010",2008,Wheeler,543,1080,14876,52,675,1734,4363,12271,978,182,801,2,27397,95,1244,3194,8034,22598,1801,336,1475,0.054,0.065,207,0.381,299,0.551,4,0.007,33,0.061,256,0.471,535,0.985,8,0.015,0,0,535,14675,10462,1180,818,1786,4690,-280,-1860,-1747,374,
205,"Jul 01, 2010",2008,Yamhill,38989,85136,2026607,11068,71255,104799,419175,1506199,124826,16136,109215,2.2,51979,284,1828,2688,10751,38631,3202,414,2801,0.054,0.073,15493,0.397,18577,0.476,587,0.015,4309,0.111,20667,0.53,38248,0.981,624,0.016,117,0.003,38248,2012337,1428967,109633,61816,61354,245765,121037,-13061,32798,35973,
206,"Jul 01, 2011",2009,Baker,6444,13015,229119,2292,9705,21700,49745,167327,13469,2609,10965,2,35555,356,1506,3368,7720,25966,2090,405,1702,0.048,0.066,2632,0.408,3190,0.495,94,0.015,523,0.081,3113,0.483,6290,0.976,121,0.019,33,0.005,6290,227011,153632,12845,4579,9053,52915,8691,-6604,-3589,4510,
207,"Jul 01, 2011",2009,Benton,34046,64981,1873643,14347,72761,119405,332597,1405909,119709,13493,106530,1.9,55033,421,2137,3507,9769,41294,3516,396,3129,0.057,0.076,16398,0.482,15035,0.442,401,0.012,2193,0.064,17208,0.505,32920,0.967,730,0.021,396,0.012,32920,1851161,1278278,88319,62650,58676,302855,67048,-4388,28460,30738,
208,"Jul 01, 2011",2009,California,28003,57625,619598,10127,14826,57953,168708,590737,52803,22192,30795,2.1,22126,362,530,2070,6025,21096,1886,793,1100,0.05,0.052,12334,0.44,13152,0.47,785,0.028,1720,0.061,15210,0.543,4853,0.173,4752,0.17,18398,0.657,4853,173054,116575,12693,4807,22061,27359,-10905,-114,3455,2877,
209,"Jul 01, 2011",2009,Clackamas,162267,336467,9988286,72843,356787,515680,2079567,7556277,654033,70264,585570,2.1,61555,449,2199,3178,12816,46567,4031,433,3609,0.059,0.077,68803,0.424,76265,0.47,2347,0.014,14739,0.091,93695,0.577,159340,0.982,2312,0.014,615,0.004,159340,9903710,7109458,421420,339177,227607,1242705,639668,-28629,133707,181403,
210,"Jul 01, 2011",2009,Clark Co WA,55820,136782,2204592,9614,92610,40386,402624,1752771,143037,17368,126133,2.5,39495,172,1659,724,7213,31400,2563,311,2260,0.057,0.072,18326,0.328,31084,0.557,690,0.012,5694,0.102,33027,0.592,1919,0.034,2144,0.038,51757,0.927,1919,79075,55420,5378,1487,4907,6431,6449,-225,461,1232,
211,"Jul 01, 2011",2009,Clatsop,15532,30221,632308,6841,26479,48948,141822,450105,36781,6082,30941,1.9,40710,441,1705,3151,9131,28979,2368,392,1992,0.049,0.069,7099,0.457,6630,0.427,230,0.015,1566,0.101,7581,0.488,15036,0.968,345,0.022,151,0.01,15036,624641,410813,26593,29207,12770,121604,28074,-1831,10866,13455,
212,"Jul 01, 2011",2009,Columbia,19845,42680,977643,2949,43122,54270,198407,708681,58271,7789,50713,2.2,49264,149,2173,2735,9998,35711,2936,393,2556,0.052,0.072,7467,0.376,10148,0.511,254,0.013,1958,0.099,11554,0.582,19535,0.984,231,0.012,79,0.004,19535,971120,735970,24590,14411,10149,155507,16556,-5680,31149,11532,
213,"Jul 01, 2011",2009,Coos,24932,49319,935449,6843,38460,80752,204342,668052,54196,9573,45042,2,37520,275,1543,3239,8196,26795,2174,384,1807,0.048,0.067,10478,0.42,11413,0.458,395,0.016,2628,0.105,12019,0.482,24356,0.977,427,0.017,149,0.006,24356,927796,599159,42335,49197,11539,199212,37974,-6358,16085,21345,
214,"Jul 01, 2011",2009,Crook,8157,17341,306812,2074,13009,26126,79832,221602,17848,3105,14854,2.1,37613,254,1595,3203,9787,27167,2188,381,1821,0.048,0.067,2836,0.348,4344,0.533,156,0.019,815,0.1,4485,0.55,8046,0.986,80,0.01,31,0.004,8046,304482,209771,15795,10722,7603,69384,7757,-11146,43,5447,
215,"Jul 01, 2011",2009,Curry,9464,17832,347092,3067,14335,35844,89087,236228,19229,3166,16179,1.9,36675,324,1515,3787,9413,24961,2032,335,1710,0.047,0.068,4067,0.43,4463,0.472,145,0.015,782,0.083,4856,0.513,9175,0.969,214,0.023,75,0.008,9175,342017,184728,23680,15099,9983,97443,12966,-917,5652,6617,
216,"Jul 01, 2011",2009,Deschutes,66914,135452,3174840,32957,114785,225570,802971,2346087,199345,26679,173797,2,47447,493,1715,3371,12000,35061,2979,399,2597,0.055,0.074,27809,0.416,31815,0.475,1040,0.016,6213,0.093,37713,0.564,65093,0.973,1526,0.023,295,0.004,65093,3134976,2018344,191377,128949,62645,566859,197507,-21482,63810,73033,
217,"Jul 01, 2011",2009,Douglas,42090,86512,1587711,9868,64990,132076,352027,1148658,93313,17119,76910,2.1,37722,234,1544,3138,8364,27291,2217,407,1827,0.048,0.067,16426,0.39,20545,0.488,585,0.014,4498,0.107,20580,0.489,41322,0.982,647,0.015,121,0.003,41322,1574822,1067538,75870,40524,48354,338026,-7813,-16401,50307,21582,
218,"Jul 01, 2011",2009,Gilliam,805,1520,33439,607,1554,2382,5592,26054,2151,299,1859,1.9,41539,755,1930,2960,6946,32366,2673,372,2309,0.056,0.071,339,0.421,366,0.455,26,0.032,73,0.091,351,0.436,788,0.979,17,0.021,,,788,33303,21991,1800,421,615,5279,4261,123,-356,829,"Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is CP,"
219,"Jul 01, 2011",2009,Grant,2949,5851,98094,623,4382,8982,22884,76220,6157,1084,5107,2,33264,211,1486,3046,7760,25846,2088,368,1732,0.052,0.067,1156,0.392,1514,0.513,48,0.016,227,0.077,1448,0.491,2886,0.979,51,0.017,12,0.004,2886,96985,71713,5218,2982,5572,22259,1939,-5363,-5428,1907,
220,"Jul 01, 2011",2009,Harney,2900,6052,85242,833,3736,7586,20152,66790,5283,1088,4240,2.1,29394,287,1288,2616,6949,23031,1822,375,1462,0.05,0.063,1136,0.392,1470,0.507,28,0.01,264,0.091,1389,0.479,2839,0.979,49,0.017,12,0.004,2839,84445,68500,4407,1439,5962,17861,-1177,-7798,-3071,1677,
221,"Jul 01, 2011",2009,Hood River,9996,21538,484115,5224,15986,24657,89334,379816,32613,4571,28199,2.2,48431,523,1599,2467,8937,37997,3263,457,2821,0.058,0.074,4196,0.42,4519,0.452,112,0.011,1162,0.116,4562,0.456,9684,0.969,221,0.022,91,0.009,9684,474656,320733,22222,20001,38535,51978,33842,-1949,431,11136,
222,"Jul 01, 2011",2009,Idaho,10842,25840,249428,3517,8551,8588,53851,216912,17568,2943,14741,2.4,23006,324,789,792,4967,20007,1620,272,1360,0.059,0.068,3721,0.343,5982,0.552,99,0.009,1034,0.095,5618,0.518,853,0.079,1180,0.109,8809,0.812,853,23963,17070,1617,458,469,3095,631,-101,1101,377,
223,"Jul 01, 2011",2009,Jackson,85101,172572,3656816,30200,135071,264752,848920,2627411,218910,33699,186861,2,42970,355,1587,3111,9975,30874,2572,396,2196,0.051,0.071,36105,0.424,37481,0.44,1280,0.015,10192,0.12,43050,0.506,83238,0.978,1571,0.018,292,0.003,83238,3621605,2364247,192175,161283,92072,649030,176676,-17465,76378,72791,
224,"Jul 01, 2011",2009,Jefferson,8302,18491,301892,1785,12076,46669,70903,196261,15715,3179,12767,2.2,36364,215,1455,5621,8541,23640,1893,383,1538,0.042,0.065,2888,0.348,3958,0.477,132,0.016,1319,0.159,3903,0.47,8195,0.987,86,0.01,21,0.003,8195,300062,210703,11653,6046,3037,60801,9457,-4565,7699,4768,
225,"Jul 01, 2011",2009,Josephine,32528,65843,1257474,10932,45394,105769,292405,890829,74132,14331,60401,2,38658,336,1396,3252,8989,27387,2279,441,1857,0.048,0.068,13121,0.403,15424,0.474,537,0.017,3419,0.105,16375,0.503,31803,0.978,594,0.018,131,0.004,31803,1244616,719059,65366,51078,24020,274682,95489,-5282,44049,23845,
226,"Jul 01, 2011",2009,Klamath,25508,53224,958820,5770,39997,83016,206581,705070,57105,9653,47897,2.1,37589,226,1568,3255,8099,27641,2239,378,1878,0.05,0.068,10172,0.399,12078,0.473,372,0.015,2868,0.112,12109,0.475,24928,0.977,419,0.016,161,0.006,24928,949406,686706,38640,9313,23028,186034,22253,-11870,10946,15643,
227,"Jul 01, 2011",2009,Lake,2959,5962,95933,1041,4354,7941,20079,75992,6108,1075,5065,2,32421,352,1472,2684,6786,25682,2064,363,1712,0.053,0.067,1173,0.396,1501,0.507,56,0.019,226,0.076,1295,0.438,2869,0.97,59,0.02,31,0.01,2869,94463,72232,4609,1343,3398,19191,2908,-3921,-3316,1981,
228,"Jul 01, 2011",2009,Lane,143987,278801,6520105,56143,252239,405915,1334451,4813055,402934,58036,347060,1.9,45283,390,1752,2819,9268,33427,2798,403,2410,0.053,0.072,66839,0.464,60480,0.42,2029,0.014,14541,0.101,71516,0.497,140790,0.978,2444,0.017,753,0.005,140790,6467168,4408789,296370,210720,197134,1027963,282008,-17710,179579,117685,
229,"Jul 01, 2011",2009,Lincoln,19501,36818,781108,5861,32310,72888,186285,532663,43617,6983,36915,1.9,40055,301,1657,3738,9553,27315,2237,358,1893,0.047,0.069,8738,0.448,8485,0.435,295,0.015,1973,0.101,9970,0.511,19046,0.977,374,0.019,81,0.004,19046,774163,454911,38584,36939,14105,185607,43711,-2186,18024,15531,
230,"Jul 01, 2011",2009,Linn,46328,98269,1926273,16207,81055,115168,396004,1411828,115262,19731,96206,2.1,41579,350,1750,2486,8548,30475,2488,426,2077,0.05,0.068,18505,0.399,22065,0.476,684,0.015,5048,0.109,23655,0.511,45672,0.986,554,0.012,102,0.002,45672,1916996,1411655,59248,42849,24077,301344,51975,-6650,58259,25762,
231,"Jul 01, 2011",2009,Malheur,9969,23214,323915,3365,12165,21546,68299,255276,20367,5550,15052,2.3,32492,338,1220,2161,6851,25607,2043,557,1510,0.046,0.059,3599,0.361,4761,0.478,99,0.01,1501,0.151,4096,0.411,9636,0.967,208,0.021,125,0.013,9636,319002,238873,15563,12343,9804,53814,17497,-12235,-10013,6644,
232,"Jul 01, 2011",2009,Marion,123637,272892,5510234,32969,216218,329507,1124798,4078504,337103,54525,285047,2.2,44568,267,1749,2665,9098,32988,2727,441,2306,0.052,0.07,50559,0.409,53643,0.434,1717,0.014,17640,0.143,60531,0.49,121901,0.986,1406,0.011,330,0.003,121901,5476634,3971656,191044,134567,137350,857530,225760,-13522,51919,79669,
233,"Jul 01, 2011",2009,Morrow,4242,10406,170847,2106,7151,9351,28238,139581,11352,2027,9398,2.5,40275,497,1686,2204,6657,32905,2676,478,2216,0.055,0.067,1377,0.325,2116,0.499,57,0.013,687,0.162,1947,0.459,4156,0.98,69,0.016,17,0.004,4156,168684,136599,3996,2973,3799,20188,10478,-868,-5161,3320,
234,"Jul 01, 2011",2009,Multnomah,323609,601247,16915178,109757,644773,729277,3218594,12971452,1112698,131635,985664,1.9,52270,339,1992,2254,9946,40084,3438,407,3046,0.058,0.076,174606,0.54,110627,0.342,5055,0.016,33201,0.103,157269,0.486,313551,0.969,8250,0.025,1808,0.006,313551,16696514,12404419,669367,705189,442175,1639724,821811,-7309,345164,324026,
235,"Jul 01, 2011",2009,Other,53432,104814,1206013,21210,35765,175145,324768,994901,84794,9974,75245,2,22571,397,669,3278,6078,18620,1587,187,1408,0.062,0.076,25307,0.474,23844,0.446,1602,0.03,2666,0.05,24371,0.456,11183,0.209,14322,0.268,27927,0.523,11183,430587,303693,43505,7647,17896,45141,21684,-1277,-57,7644,
236,"Jul 01, 2011",2009,Other Washington,33717,75911,697841,11444,34676,57527,205040,851169,71439,6825,64836,2.3,20697,339,1029,1706,6081,25245,2119,202,1923,0.093,0.076,12541,0.372,18000,0.534,505,0.015,2657,0.079,18345,0.544,3224,0.096,4284,0.127,26209,0.777,3224,118847,78598,12826,1260,4084,14499,6879,224,2245,1768,
237,"Jul 01, 2011",2009,Polk,29539,64080,1446080,8210,58174,100769,306374,1028030,85037,12537,72952,2.2,48955,278,1969,3411,10372,34802,2879,424,2470,0.05,0.071,11593,0.392,14553,0.493,402,0.014,2981,0.101,16294,0.552,29087,0.985,359,0.012,93,0.003,29087,1437152,1018084,51712,39163,18969,257548,46185,-8294,35505,21719,
238,"Jul 01, 2011",2009,Sherman,833,1601,40524,1412,1699,2502,5932,33598,2818,287,2539,1.9,48648,1695,2040,3004,7121,40334,3384,344,3048,0.063,0.076,390,0.468,364,0.437,12,0.014,67,0.08,344,0.413,814,0.977,14,0.017,5,0.006,814,40336,20208,1341,-595,693,5309,9101,6090,391,2202,
239,"Jul 01, 2011",2009,Tillamook,10637,21277,430080,7586,17284,36091,104455,303114,24946,4624,20467,2,40432,713,1625,3393,9820,28496,2345,435,1924,0.048,0.068,4476,0.421,5088,0.478,133,0.013,934,0.088,5592,0.526,10455,0.983,148,0.014,34,0.003,10455,427588,262102,21158,16845,10529,97435,27391,-492,6532,13913,
240,"Jul 01, 2011",2009,Umatilla,27926,62547,1176103,9774,47624,81741,201633,900469,73987,12242,62351,2.2,42115,350,1705,2927,7220,32245,2649,438,2233,0.053,0.069,10586,0.379,12360,0.443,369,0.013,4590,0.164,12493,0.447,27300,0.978,510,0.018,116,0.004,27300,1164970,880740,28857,36797,25545,152245,63327,-3577,885,19851,
241,"Jul 01, 2011",2009,Union,10692,21966,427094,4096,17411,34275,83243,323080,26526,4477,22212,2.1,39945,383,1628,3206,7786,30217,2481,419,2078,0.052,0.069,4478,0.419,5233,0.489,124,0.012,852,0.08,5192,0.486,10440,0.976,199,0.019,53,0.005,10440,422034,296217,16093,10146,10255,74483,27063,-8382,4536,8377,
242,"Jul 01, 2011",2009,Wallowa,3216,6238,107239,1346,4503,9836,25268,78669,6319,1189,5166,1.9,33345,419,1400,3059,7857,24462,1965,370,1606,0.048,0.066,1358,0.422,1623,0.505,39,0.012,192,0.06,1662,0.517,3150,0.979,46,0.014,20,0.006,3150,106063,67640,7929,3640,5074,25666,4537,-3776,-1270,3377,
243,"Jul 01, 2011",2009,Wasco,10005,20707,403469,2783,16380,30019,83701,295768,24152,4118,20212,2.1,40327,278,1637,3000,8366,29562,2414,412,2020,0.05,0.068,4188,0.419,4513,0.451,119,0.012,1178,0.118,4888,0.489,9757,0.975,198,0.02,50,0.005,9757,400107,276828,16692,13977,6878,72032,18835,-1595,5364,8903,
244,"Jul 01, 2011",2009,Washington,222857,472978,13622179,75756,508798,547211,2563266,10436464,896599,97798,801559,2.1,61125,340,2283,2455,11502,46830,4023,439,3597,0.059,0.077,96833,0.435,99409,0.446,3350,0.015,23156,0.104,119706,0.537,216937,0.973,4881,0.022,1039,0.005,216937,13446502,10376092,577545,364882,375042,1217042,479040,-13658,278183,207667,
245,"Jul 01, 2011",2009,Wheeler,554,1099,15150,155,720,1916,5142,11476,902,186,723,2,27347,280,1300,3459,9282,20714,1628,336,1305,0.048,0.063,220,0.397,297,0.536,5,0.009,32,0.058,252,0.455,544,0.982,10,0.018,,,544,15088,11150,849,458,471,4401,525,-1625,-784,357,"Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is CP,"
246,"Jul 01, 2011",2009,Yamhill,38312,84611,1862592,13490,69528,111137,402876,1365014,114104,17608,97063,2.2,48616,352,1815,2901,10516,35629,2978,460,2534,0.052,0.071,14855,0.388,18526,0.484,575,0.015,4337,0.113,20400,0.532,37691,0.984,497,0.013,124,0.003,37691,1851631,1339493,87062,58480,32355,244779,88203,-13638,46462,31565,
247,"Jul 01, 2012",2010,Baker,6432,13007,242681,3123,10120,22246,49977,180287,14771,2943,11926,2,37730,486,1573,3459,7770,28030,2297,458,1854,0.049,0.066,2596,0.404,3167,0.492,105,0.016,560,0.087,3150,0.49,6262,0.974,138,0.021,32,0.005,6262,239732,151398,11506,4810,17476,58194,11428,-6219,-4047,4813,
248,"Jul 01, 2012",2010,Benton,34143,65227,1950376,20042,74148,122418,340772,1471338,125869,13794,112386,1.9,57124,587,2172,3585,9981,43093,3687,404,3292,0.058,0.076,16373,0.48,15071,0.441,458,0.013,2228,0.065,17274,0.506,32815,0.961,879,0.026,449,0.013,32815,1926143,1288529,88445,60358,64042,344233,84097,-5852,34511,32219,
